theta, r, d, alt, x, y
0.0, 1737400.0, -0.0, 0.0, 1737400.0, 0.0
0.000399474163513, 1737392.44026, -2180.40162085, -7.55973756686, 1737392.30164, 694.043373308
0.000798948327025, 1737561.16626, -4361.22673892, 161.166259667, 1737560.6117, 1388.2214392
0.00119842249054, 1737923.71641, -6543.20509349, 523.716407856, 1737922.46839, 2082.76637004
0.00159789665405, 1738038.61135, -8724.85022374, 638.611352331, 1738036.39251, 2777.20489986
0.00199737081756, 1738108.56475, -10906.501732, 708.564748149, 1738105.09767, 3471.64501663
0.00239684498108, 1738505.50936, -13090.7910359, 1105.50935618, 1738500.51562, 4166.92421494
0.00279631914459, 1738633.47963, -15273.7137473, 1233.47962749, 1738626.6821, 4861.76774848
0.0031957933081, 1738670.75351, -17456.0470794, 1270.75351477, 1738661.87492, 5556.42290101
0.00359526747161, 1738954.93687, -19641.2627773, 1554.93687359, 1738943.69806, 6251.99465029
0.00399474163513, 1739072.99369, -21825.1069035, 1672.99368725, 1739059.11768, 6947.12881738
0.00439421579864, 1739161.44739, -24008.8386828, 1761.44739415, 1739144.65657, 7642.22611434
0.00479368996215, 1739579.05658, -26197.7495009, 2179.05657898, 1739559.06932, 8338.97072429
0.00519316412566, 1739370.04434, -28377.4852985, 1970.04434468, 1739346.5899, 9032.79351458
0.00559263828918, 1739445.14975, -30561.6883693, 2045.1497492, 1739417.94698, 9728.03683462
0.00599211245269, 1739560.83965, -32746.8439464, 2160.8396486, 1739529.60992, 10423.581792
0.0063915866162, 1739759.68515, -34933.9596464, 2359.68514719, 1739724.14861, 11119.7490073
0.00679106077971, 1739884.31054, -37119.9909754, 2484.3105392, 1739844.19026, 11815.5692826
0.00719053494323, 1739773.09165, -39301.0074515, 2373.09165048, 1739728.11541, 12509.7914075
0.00759000910674, 1739472.46888, -41477.2284896, 2072.46888436, 1739422.36515, 13202.4851169
0.00798948327025, 1739255.0202, -43654.7826183, 1855.02020336, 1739199.51057, 13895.6010552
0.00838895743376, 1739347.5941, -45839.9615052, 1947.59409798, 1739286.39151, 14591.141787
0.00878843159728, 1739515.01688, -48027.439303, 2115.01687534, 1739447.84026, 15287.4119454
0.00918790576079, 1739793.47281, -50218.5422609, 2393.4728076, 1739720.03872, 15984.8335689
0.0095873799243, 1739725.10098, -52399.8978068, 2325.10097945, 1739645.14569, 16679.1499856
0.00998685408781, 1739620.0332, -54579.9304195, 2220.03319582, 1739533.28145, 17373.0426465
0.0103863282513, 1739548.79612, -56760.8031981, 2148.79612391, 1739454.96935, 18067.199966
0.0107858024148, 1739139.99379, -58930.0589106, 1739.99378551, 1739038.83462, 18757.656649
0.0111852765784, 1738991.96332, -61107.4519567, 1591.96331678, 1738883.18145, 19450.7004905
0.0115847507419, 1738599.42146, -63275.5745638, 1199.42146001, 1738482.75714, 20140.7904266
0.0119842249054, 1738167.69291, -65441.2365412, 767.692912608, 1738042.87515, 20830.0939381
0.0123836990689, 1737960.27133, -67614.5414516, 560.271326919, 1737827.00971, 21521.8269004
