theta, r, d, alt, x, y
0.0, 1737400, -0.0, 0, 1737400.0, 0.0
0.000399474163513, 1737397.48009, -2180.40794575, -2.51991252229, 1737397.34146, 694.045386587
0.000798948327025, 1737453.72209, -4360.95705725, 53.7220865558, 1737453.16756, 1388.13559687
0.00119842249054, 1737574.57214, -6541.8905809, 174.572135952, 1737573.32437, 2082.34794778
0.00159789665405, 1737612.87045, -8722.71302979, 212.870450777, 1737610.65215, 2776.52461019
0.00199737081756, 1737636.18825, -10903.5376047, 236.188249383, 1737632.72211, 3470.70150623
0.00239684498108, 1737768.50312, -13085.2414448, 368.503118726, 1737763.5115, 4165.15772692
0.00279631914459, 1737811.15988, -15266.4897541, 411.159875831, 1737804.36556, 4859.46828301
0.0031957933081, 1737823.5845, -17447.5416036, 423.584504923, 1737814.71023, 5553.71552857
0.00359526747161, 1737918.31229, -19629.5542417, 518.312291197, 1737907.08018, 6248.26771568
0.00399474163513, 1737957.66456, -21811.1096892, 557.664562418, 1737943.79745, 6942.67337753
0.00439421579864, 1737987.14913, -23992.6276878, 587.149131384, 1737970.36965, 7637.06601097
0.00479368996215, 1738126.35219, -26175.8720326, 726.352192994, 1738106.38163, 8332.00693653
0.00519316412566, 1738056.68145, -28356.0580373, 656.681448228, 1738033.24472, 9025.97303616
0.00559263828918, 1738081.71658, -30537.733133, 681.716583068, 1738054.53514, 9720.41168583
0.00599211245269, 1738120.27988, -32719.7257309, 720.279882866, 1738089.07601, 10414.9498476
0.0063915866162, 1738186.56172, -34902.371703, 786.56171573, 1738151.05731, 11109.6943211
0.00679106077971, 1738228.10351, -37084.6562181, 828.103513065, 1738188.02143, 11804.3219665
0.00719053494323, 1738191.03055, -39265.2691156, 791.030550161, 1738146.09521, 12498.4156399
0.00759000910674, 1738090.82296, -41444.2835338, 690.822961452, 1738040.75903, 13191.9985125
0.00798948327025, 1738018.34007, -43623.7423155, 618.340067788, 1737962.86991, 13885.7207251
0.00838895743376, 1738049.19803, -45805.7426833, 649.198032659, 1737988.04113, 14580.2497255
0.00878843159728, 1738105.00563, -47988.5093547, 705.005625112, 1738037.88346, 15275.0203175
0.00918790576079, 1738197.82427, -50172.4844128, 797.8242692, 1738124.45753, 15970.1731068
0.0095873799243, 1738175.03366, -52353.2103336, 775.033659817, 1738095.14961, 16664.2891289
0.00998685408781, 1738140.01107, -54533.4952766, 740.011065273, 1738053.33313, 17358.2621271
0.0103863282513, 1738116.26537, -56714.060275, 716.265374636, 1738022.51586, 18052.3214989
0.0107858024148, 1737979.99793, -58890.752918, 579.997928505, 1737878.90623, 18745.1454055
0.0111852765784, 1737930.65444, -61070.1580053, 530.654438927, 1737821.93896, 19438.8297046
0.0115847507419, 1737799.80715, -63246.4729465, 399.807153337, 1737683.19649, 20131.5273013
0.0119842249054, 1737655.89764, -65421.9676778, 255.897637536, 1737531.11663, 20823.9606152
0.0123836990689, 1737586.75711, -67600.0100534, 186.757108973, 1737453.52413, 21517.2015309
0.0127831732324, 1737536.71342, -69778.6458083, 136.713419389, 1737394.75033, 22210.6278891
0.0135661425929, 1737525.5944, -74052.1139793, 125.594401137, 1737365.70955, 23570.7969611
0.0143491119534, 1737531.05836, -78326.2749952, 131.058364303, 1737352.18521, 24931.172116
0.0151320813138, 1737624.34977, -82604.6381057, 224.349771947, 1737425.41306, 26292.8695038
0.0159150506743, 1737733.82016, -86884.2690935, 333.820158428, 1737513.75051, 27654.9543233
0.0166980200348, 1737908.26455, -91167.8470562, 508.264547897, 1737665.98502, 29018.2784781
0.0174809893953, 1738058.80625, -95450.9705142, 658.806253825, 1737793.25067, 30381.4401533
0.0182639587558, 1738115.4979, -99729.4496475, 715.497902963, 1737825.61247, 31743.1049283
0.0190469281163, 1738245.78729, -104012.611596, 845.787291925, 1737930.49167, 33106.2407303
0.0198298974767, 1738271.20257, -108289.881118, 871.202566109, 1737929.44806, 34467.4807184
0.0206128668372, 1738309.83106, -112568.131323, 909.831060692, 1737940.54866, 35829.0117106
0.0213958361977, 1738426.05633, -116851.787386, 1026.05633325, 1738028.1616, 37192.2413363
0.0221788055582, 1738422.87683, -121127.695483, 1022.87682787, 1737995.32976, 38552.9820834
0.0229617749187, 1738427.71889, -125404.166588, 1027.71889341, 1737969.45201, 39913.8783916
0.0237447442791, 1738402.45795, -129678.415939, 1002.45794775, 1737912.41412, 41274.0430902
0.0245277136396, 1738373.19672, -133952.232773, 973.196721297, 1737850.31269, 42634.0448323
0.0253106830001, 1738458.6263, -138235.025392, 1058.62629916, 1737901.80107, 43996.8772231
0.0260936523606, 1738351.24936, -142502.43285, 951.249355622, 1737759.47977, 45354.7859212
0.0268766217211, 1738158.22054, -146762.080012, 758.220536331, 1737530.4766, 46710.1969705
0.0276595910815, 1738106.35562, -151033.044022, 706.355621045, 1737441.52629, 48069.1812605
0.028442560442, 1738059.41487, -155304.192879, 659.414865947, 1737356.43526, 49428.1949328
0.0292255298025, 1738102.62682, -159583.388153, 702.626819307, 1737360.39547, 50789.7392126
0.030008499163, 1738212.19905, -163869.052091, 812.199045038, 1737429.61902, 52153.3110678
0.0307914685235, 1738123.41909, -168136.067624, 723.419086773, 1737299.51415, 53510.9158671
0.0315744378839, 1738157.73687, -172414.85696, 757.736874257, 1737291.38491, 54872.2350003
0.0323574072444, 1738154.57955, -176690.005638, 754.579554206, 1737244.73345, 56232.3618216
0.0331403766049, 1738111.23503, -180960.95475, 711.235033361, 1737156.85202, 57591.1176534
0.0339233459654, 1738053.42483, -185230.148971, 653.424831009, 1737053.45053, 58949.2797117
0.0347063153259, 1737875.3309, -189485.943884, 475.330898147, 1736828.77593, 60303.1413894
0.0354892846864, 1737788.2868, -193751.014065, 388.286804614, 1736694.03876, 61659.9179981
0.0362722540468, 1737648.58402, -198009.655431, 248.584016832, 1736505.61771, 63014.6109561
0.0370552234073, 1737632.3674, -202281.984848, 232.367404495, 1736439.54145, 64373.6214222
0.0378381927678, 1737637.47655, -206556.769526, 237.476548164, 1736393.71212, 65733.3737834
0.0386211621283, 1737794.69221, -210850.03472, 394.692211946, 1736498.81109, 67098.9669125
0.0394041314888, 1737929.91994, -215141.351419, 529.91994335, 1736580.86515, 68463.8987224
0.0401871008493, 1737949.53556, -219418.737174, 549.535560687, 1736546.3275, 69824.35529
0.0409700702097, 1737974.00255, -223696.843854, 574.002545458, 1736515.57134, 71184.9984496
0.0417530395702, 1738006.42522, -227976.114458, 606.425223474, 1736491.69782, 72545.9683294
0.0425360089307, 1738131.78035, -232267.963204, 731.780348267, 1736559.60602, 73910.8962468
0.0433189782912, 1738124.94355, -236542.438565, 724.943554975, 1736494.37339, 75270.2503465
0.0441019476517, 1738089.73973, -240812.95003, 689.739732505, 1736399.73723, 76628.2969709
0.0448849170122, 1737941.49223, -245067.348004, 541.492227926, 1736191.10919, 77981.1692927
0.0456678863726, 1737834.58534, -249326.947803, 434.585342216, 1736022.72473, 79335.6491788
0.0464508557331, 1737724.03702, -253585.490276, 324.037022616, 1735849.64615, 80689.7441069
0.0472338250936, 1737731.27003, -257860.966408, 331.27003401, 1735793.16143, 82049.1778381
0.0480167944541, 1737648.99874, -262122.976468, 248.998735732, 1735646.21092, 83404.2765248
0.0487997638146, 1737673.55743, -266400.959788, 273.557426148, 1735604.90537, 84764.4066073
0.0495827331751, 1737600.61743, -270663.876676, 200.61742774, 1735465.15509, 86119.6908664
0.0503657025355, 1737575.2974, -274933.96957, 175.297397183, 1735371.90614, 87477.2056507
0.051148671896, 1737553.50132, -279204.504159, 153.501320885, 1735281.11468, 88834.8073756
0.0519316412565, 1737436.5049, -283459.399769, 36.5048953055, 1735094.18915, 90187.3788659
0.052714610617, 1737364.99058, -287721.252005, -35.0094154123, 1734951.62839, 91542.1085672
0.0534975799775, 1737317.20589, -291986.740602, -82.7941104008, 1734831.70561, 92897.9391895
0.054280549338, 1737373.08856, -296269.672246, -26.91143552, 1734814.23798, 94259.2624996
0.0550635186985, 1737308.6228, -300532.060073, -91.3772003737, 1734675.53606, 95613.9919445
0.0558464880589, 1737313.03964, -304806.215999, -86.9603630346, 1734604.55148, 96972.4068299
0.0566294574194, 1737427.22986, -309099.923072, 27.2298550273, 1734642.10054, 98336.9822579
0.0574124267799, 1737436.87405, -313375.335313, 36.8740541164, 1734574.20231, 99695.6769857
0.0581953961404, 1737463.72806, -317653.941404, 63.7280603813, 1734522.42052, 101055.32664
0.0589783655009, 1737548.74921, -321943.457161, 148.74921099, 1734527.63896, 102418.384938
0.0597613348614, 1737684.99956, -326243.00925, 284.999564849, 1734582.92396, 103784.573059
0.0605443042218, 1737699.81165, -330520.133397, 299.81165498, 1734515.9171, 105143.562631
0.0613272735823, 1737779.84277, -334809.895856, 379.842766183, 1734512.94191, 106506.508095
0.0621102429428, 1737848.63988, -339097.859998, 448.639884633, 1734497.68339, 107868.816058
0.0628932123033, 1737859.52418, -343374.719894, 459.524182653, 1734423.55654, 109227.525494
0.0636761816638, 1737902.80699, -347658.114483, 502.806989145, 1734380.69819, 110588.2466
0.0644591510243, 1737911.27225, -351934.671296, 511.272245021, 1734302.02704, 111946.724795
0.0652421203848, 1738086.37378, -356245.42422, 686.373775705, 1734388.5736, 113316.011584
0.0660250897452, 1738138.85753, -360531.604701, 738.857527837, 1734351.68841, 114677.412551
0.0668080591057, 1738250.08652, -364830.373046, 850.086518413, 1734372.34876, 116042.74696
0.0675910284662, 1738330.31138, -369123.105063, 930.311384644, 1734361.00092, 117406.090014
0.0683739978267, 1738339.257, -373400.920735, 939.256997564, 1734277.46865, 118764.616582
0.0691569671872, 1738317.88473, -377672.193461, 917.884731877, 1734162.62683, 120120.989297
0.0699399365477, 1738401.81123, -381966.497584, 1001.8112344, 1734151.76555, 121484.613572
0.0707229059081, 1738489.15198, -386261.973172, 1089.15197548, 1734143.23768, 122848.535737
0.0715058752686, 1738545.36965, -390550.886877, 1145.36964831, 1734102.59351, 124210.295434
0.0722888446291, 1738540.69483, -394826.248334, 1140.69482601, 1734000.14652, 125567.668778
0.0730718139896, 1738744.10904, -399149.356103, 1344.10904453, 1734104.17078, 126940.149758
0.0738547833501, 1738833.35757, -403446.975666, 1433.35757167, 1734093.25424, 128304.446583
0.0746377527106, 1738864.13929, -407731.32491, 1464.13929191, 1734022.96028, 129664.444348
0.075420722071, 1738918.14611, -412021.328568, 1518.14610587, 1733974.75878, 131026.160685
0.0762036914315, 1738907.74197, -416296.177872, 1507.74197389, 1733861.26388, 132382.977426
0.076986660792, 1738797.48811, -420546.826263, 1397.48810554, 1733647.15332, 133732.01726
0.0777696301525, 1738675.4827, -424794.061114, 1275.48270038, 1733420.27722, 135079.889978
0.078552599513, 1738434.95805, -429011.447542, 1034.95804509, 1733074.19953, 136418.188989
0.0793355688735, 1738312.21024, -433257.005405, 912.210236786, 1732844.49534, 137765.362978
0.080118538234, 1738292.42539, -437527.875163, 892.425390871, 1732716.37676, 139120.50132
0.0809015075944, 1738122.0475, -441760.372924, 722.047499203, 1732437.09794, 140463.353574
0.0816844769549, 1738006.17849, -446006.020536, 606.178486866, 1732211.10575, 141810.30137
0.0824674463154, 1737960.59097, -450269.306595, 560.590971018, 1732054.1091, 143162.770759
0.0832504156759, 1737851.73836, -454515.8221, 451.738358618, 1731833.01051, 144509.820475
0.0840333850364, 1737817.05912, -458781.383772, 417.059120015, 1731684.77606, 145862.837441
0.0848163543969, 1737791.90213, -463049.312121, 391.902126438, 1731544.97258, 147216.517547
0.0855993237573, 1737799.15227, -467325.831577, 399.152267135, 1731436.39941, 148572.838793
0.0863822931178, 1737902.77457, -471628.539985, 502.77457498, 1731422.77666, 149937.394769
0.0871652624783, 1737945.54478, -475915.094563, 545.544777544, 1731347.45739, 151296.723012
0.0879482318388, 1738021.32825, -480210.981035, 621.328245918, 1731303.95658, 152658.924943
0.0887312011993, 1738027.67787, -484487.885136, 627.677870404, 1731190.2233, 154014.998634
0.0895141705598, 1737944.05457, -488739.518554, 544.05457295, 1730985.81515, 155362.944711
0.0902971399202, 1738014.01966, -493034.310049, 614.019656767, 1730933.3202, 156724.514872
0.0910801092807, 1737965.15431, -497295.444003, 565.15430845, 1730761.41634, 158075.289939
0.0918630786412, 1738001.07318, -501580.80598, 601.073175325, 1730672.88515, 159433.669485
0.0926460480017, 1738159.91918, -505902.12336, 759.919179431, 1730705.68778, 160803.37973
0.0934290173621, 1738142.07625, -510172.361175, 742.076247916, 1730561.48806, 162156.755205
0.0942119867226, 1738216.62877, -514469.858019, 816.628772709, 1730508.21576, 163518.695339
0.0949949560831, 1738268.473, -518760.944666, 868.473000551, 1730431.26569, 164878.497526
0.0957779254436, 1738266.75139, -523036.168659, 866.751392778, 1730299.92676, 166233.15687
0.096560894804, 1738381.78612, -527346.802799, 981.786116826, 1730283.73978, 167598.968208
0.0973438641645, 1738521.82165, -531665.648475, 1121.82165255, 1730291.35716, 168967.285932
0.098126833525, 1738498.74298, -535934.899103, 1098.74297604, 1730135.56294, 170319.738114
0.0989098028854, 1738470.30608, -540202.37121, 1070.30607595, 1729973.37958, 171671.5208
0.0996927722459, 1738471.8704, -544479.099627, 1071.87040019, 1729839.99234, 173026.139885
0.100475741606, 1738473.77096, -548755.941874, 1073.77096075, 1729705.87893, 174380.689062
0.101258710967, 1738476.84163, -553033.165697, 1076.84162807, 1729571.86895, 175735.252579
0.102041680327, 1738437.03596, -557296.659616, 1037.03596341, 1729394.14489, 177085.345563
0.102824649688, 1738480.2316, -561586.769881, 1080.23159676, 1729297.9299, 178443.787525
0.103607619048, 1738456.91563, -565855.443593, 1056.91562967, 1729134.49289, 179795.308592
0.104390588409, 1738483.09617, -570140.235115, 1083.09617238, 1729019.2267, 181151.840712
0.105173557769, 1738454.80819, -574407.158352, 1054.8081881, 1728848.72871, 182502.584459
0.10595652713, 1738413.34668, -578669.557326, 1013.34668191, 1728664.07589, 183851.779062
0.10673949649, 1738475.35178, -582966.447994, 1075.35178246, 1728581.24793, 185211.819408
0.107522465851, 1738320.54191, -587190.405382, 920.541912492, 1728281.78708, 186548.575169
0.108305435211, 1738184.99147, -591420.154226, 784.991469036, 1728000.43931, 187887.057369
0.109088404572, 1738138.20109, -595679.655306, 738.201094971, 1727806.2876, 189234.876869
0.109871373932, 1738090.59205, -599938.643618, 690.592052379, 1727610.27093, 190582.417758
0.110654343293, 1738003.37748, -604183.629609, 603.377476482, 1727373.84003, 191925.394122
0.111437312653, 1737962.80098, -608444.514101, 562.80098331, 1727182.71406, 193273.303563
0.112220282014, 1737955.17322, -612716.815064, 555.173222482, 1727023.2778, 194624.721134
0.113003251374, 1737849.80181, -616954.378511, 449.801812653, 1726765.66391, 195964.985664
0.113786220734, 1737823.01102, -621219.513788, 423.01101509, 1726585.08251, 197313.888217
0.114569190095, 1737824.6669, -625494.75607, 424.666895112, 1726431.70758, 198665.880114
0.115352159455, 1737911.16266, -629800.751581, 511.162655068, 1726361.55005, 200027.517571
0.116135128816, 1737906.924, -634074.068224, 506.923997188, 1726200.19538, 201378.653168
0.116918098176, 1737819.27248, -638316.72572, 419.272482194, 1725954.93986, 202719.92845
0.117701067537, 1737814.2604, -642589.509496, 414.260404397, 1725790.70994, 204070.647444
0.118484036898, 1737748.23269, -646839.55685, 348.23268509, 1725564.8351, 205414.021064
0.119267006258, 1737659.22594, -651080.669403, 259.225937007, 1725315.09886, 206754.431938
0.120049975619, 1737519.32462, -655302.149294, 119.324623728, 1725013.79325, 208088.482449
0.120832944979, 1737476.88666, -659559.938791, 76.8866597139, 1724808.20908, 209433.936039
0.12161591434, 1737440.81678, -663819.952554, 40.816783376, 1724607.89659, 210779.96782
0.1223988837, 1737527.258, -668126.897745, 127.258000473, 1724528.12824, 212140.772126
0.123181853061, 1737373.97855, -672341.499357, -26.0214496027, 1724209.38192, 213472.126115
0.123964822421, 1737320.64646, -676594.271103, -79.3535356894, 1723988.78848, 214815.469278
0.124747791782, 1737240.34621, -680836.211473, -159.653788476, 1723740.38988, 216155.242376
0.125530761142, 1737281.39253, -685125.611826, -118.607471364, 1723611.34194, 217509.950947
0.126313730502, 1737320.60599, -689414.486783, -79.3940110975, 1723479.41106, 218864.359045
0.127096699863, 1737387.61974, -693714.654922, -12.3802555588, 1723373.99193, 220222.217709
0.127879669224, 1737307.54774, -697956.061648, -92.4522601003, 1723121.61827, 221561.287404
0.128662638584, 1737273.03837, -702215.491128, -126.961631201, 1722913.39029, 222905.942958
0.129445607944, 1737195.88986, -706457.410976, -204.110141769, 1722661.83062, 224244.904221
0.130228577305, 1737195.92158, -710730.527664, -204.078415733, 1722485.75717, 225593.630899
0.131011546666, 1737105.24667, -714966.311022, -294.753333726, 1722218.69846, 226930.369677
0.131794516026, 1736988.80835, -719190.981101, -411.191653621, 1721925.06253, 228263.442909
0.132577485386, 1736940.60925, -723443.500298, -459.390749097, 1721698.03533, 229605.215957
0.133360454747, 1736942.91442, -727716.941856, -457.085583048, 1721520.01846, 230953.488758
0.134143424108, 1737054.20995, -732036.325912, -345.790047283, 1721448.95698, 232316.200086
0.134926393468, 1737046.62893, -736305.867649, -353.371066702, 1721259.02076, 233662.950748
0.135709362828, 1737108.52294, -740604.99232, -291.477056368, 1721136.86718, 235018.945901
0.136492332189, 1737268.15396, -744946.331432, -131.846044394, 1721110.47334, 236388.191976
0.13727530155, 1737377.59724, -749266.81174, -22.4027611502, 1721033.27479, 237750.672865
0.13805827091, 1737458.82708, -753575.593645, 58.8270808151, 1720927.05273, 239109.295035
0.13884124027, 1737467.30283, -757853.041094, 67.3028330524, 1720747.70419, 240457.827766
0.139624209631, 1737598.45732, -762184.342332, 198.457315741, 1720688.78379, 241823.299552
0.140407178991, 1737695.64381, -766501.305438, 295.64381434, 1720595.14624, 243184.072778
0.141190148352, 1737710.2393, -770782.11243, 310.239304845, 1720418.66344, 244533.22528
0.141973117712, 1737815.91101, -775103.613194, 415.911010957, 1720331.28261, 245895.137482
0.142756087073, 1737870.50967, -779402.7285, 470.509674243, 1720192.27022, 247249.796501
0.143539056433, 1737967.21964, -783721.10213, 567.219637956, 1720093.86934, 248610.412456
0.144322025794, 1737985.29882, -788004.300252, 585.298820123, 1719916.57901, 249959.717086
0.145104995154, 1737851.01103, -792218.129189, 451.011034765, 1719587.46452, 251286.864795
0.145887964515, 1737725.1778, -796435.172385, 325.177796896, 1719265.691, 252614.879424
0.146670933875, 1737692.86562, -800694.689204, 292.86561962, 1719035.40907, 253956.21193
0.147453903236, 1737562.13311, -804908.454818, 162.133110219, 1718706.72839, 255282.878766
0.148236872596, 1737598.10818, -809199.212986, 198.108180069, 1718541.90346, 256633.808409
0.149019841957, 1737539.56122, -813445.896732, 139.561215231, 1718282.54221, 257970.602859
0.149802811317, 1737597.18795, -817746.966054, 197.187952808, 1718137.01381, 259324.486628
0.150585780678, 1737578.9777, -822012.441973, 178.977702057, 1717915.43988, 260666.923788
0.151368750038, 1737541.22159, -826268.533486, 141.221588098, 1717673.49472, 262006.225608
