GM = 4.911328E12
orbital radius = 1837400.0 m
velocity = 1634.9241672822895 m/s
predicted period = 7061.3212003602575 s
state.size = 4
state = [ 1837400.0, 0.0, 0.0, 1634.9241672822895 ]

t, x, y, vx, vy, am, en, radius, v
0.0, 1837400.0, 0.0, 0.0, 1634.9241672822895, 3.004009664964479E9, -1336488.516381844, 1837400.0, 1634.9241672822895
0.5, 1837399.8181549343, 817.462056673428, -0.7273802505125029, 1634.9240054759912, 3.004009664964479E9, -1336488.5163818446, 1837399.9999999998, 1634.9241672822893
1.0, 1837399.2726197734, 1634.923951540563, -1.454760357049269, 1634.9235200571284, 3.004009664964479E9, -1336488.5163818444, 1837399.9999999998, 1634.9241672822895
1.5, 1837398.3633946253, 2452.385522795144, -2.18214017563459, 1634.922711025797, 3.004009664964479E9, -1336488.516381844, 1837400.0, 1634.9241672822895
2.0, 1837397.0904796699, 3269.8466086309745, -2.9095195622928145, 1634.9215783821573, 3.004009664964479E9, -1336488.516381844, 1837400.0, 1634.9241672822895
2.5, 1837395.453875159, 4087.307047241953, -3.636898373048377, 1634.9201221264334, 3.0040096649644785E9, -1336488.5163818446, 1837399.9999999998, 1634.9241672822893
3.0, 1837393.4535814167, 4904.766676822108, -4.364276463925826, 1634.9183422589135, 3.0040096649644785E9, -1336488.5163818442, 1837400.0, 1634.9241672822893
3.5, 1837391.089598839, 5722.225335565626, -5.091653690949851, 1634.9162387799502, 3.0040096649644785E9, -1336488.5163818444, 1837399.9999999998, 1634.9241672822895
4.0, 1837388.3619278937, 6539.682861666886, -5.819029910145314, 1634.9138116899596, 3.004009664964479E9, -1336488.5163818444, 1837399.9999999998, 1634.9241672822895
4.5, 1837385.2705691208, 7357.139093320493, -6.546404977537278, 1634.9110609894221, 3.0040096649644785E9, -1336488.516381844, 1837400.0, 1634.9241672822895
5.0, 1837381.8155231322, 8174.5938687213065, -7.273778749151029, 1634.9079866788823, 3.004009664964479E9, -1336488.5163818442, 1837400.0, 1634.9241672822893
5.5, 1837377.9967906117, 8992.047026064476, -8.001151081012114, 1634.9045887589486, 3.004009664964479E9, -1336488.5163818442, 1837399.9999999998, 1634.9241672822898
6.0, 1837373.814372315, 9809.498403545469, -8.728521829146365, 1634.9008672302937, 3.004009664964479E9, -1336488.5163818444, 1837399.9999999998, 1634.9241672822895
